Gen,rating/total_rating,rating/scale_correctness_rating,rating/zipfs_law_distance_pitches,rating/zipfs_law_distance_intervals,rating/neighbour_pitch_rating,rating/melody_direction_rating,rating/direction_stability_rating,rating/unique_pitches_rating,rating/bindings_rating,rating/measures_rating,rating/types_distance_rating,rating/semitones_distance_rating,rating/pitches_distance_rating,rating/duration_distance_rating,rating/offsets_distance_rating,rating/absolute_rhythm_rating,rating/absolute_types_rating,rating/types_distr_rating,rating/interval_distr_distance_rating,rating/element_count_rating
1,40.92314387991601,0.33047455688965127,3.7073108207494263,1.2814729813327297,0.3365384615384615,0.0730769230769231,0.0730769230769231,0.046857463524130186,0.31249999999999994,3.28125,1.395019712657936,2.2938185117972516,1.4377660857167398,1.6973311379243008,2.482113523191078,7,3.8,1.4079082505991098,6.99561403508772,2.971014492753623
2,39.505793835524656,0.3557575757575758,0.28600280060288696,4.286963391178687,0.4736842105263158,0.04858299595141696,0.05910931174089068,0.04237867395762132,0.5000000000000001,3.28125,1.2151611811622318,2.340771668995154,1.2066038983220313,1.8224715174911594,2.8342481888391378,6.6000000000000005,3.5999999999999996,0.6564858066834351,7.287626962142198,2.608695652173913
3,38.43767134476523,0.14438502673796788,0.7889286685375563,0.8929801569197865,0.4838709677419355,0.02696443341604632,0.02696443341604632,0.028154681139755763,0.5625000000000001,2.8125,1.1768707116611898,2.0921167027417575,1.3343774459095659,1.780357538949308,2.8975849062279644,6.800000000000001,3,1.8804347826086956,8.810130164119979,2.898550724637681
4,35.104912903403644,0.40334378265412746,0.1468327852240381,1.4829588506262947,0.40540540540540543,0.013721413721413722,0.12141372141372136,0.01670551670551669,1.1875000000000002,3.28125,1.0971263291054203,3.506487297348506,1.42939832688422,1.1504191499242824,2.356638777603636,6.4,2.6,1.363768115942029,5.89556661925083,2.246376811594203
5,34.69856920434365,0.3282328232823282,0.995111022889511,0.7191882640748276,0.3804347826086957,0.011371237458194017,0.011371237458194017,0.03914141414141413,0.31249999999999994,2.8125,0.9775772803739103,2.2974752261072804,1.2126770794406172,1.7985013021465794,2.6115455053765886,6.800000000000001,3.4000000000000004,1.5217391304347823,5.425724637681161,3.0434782608695654
6,32.060169211824764,0.3757575757575758,0.7624087347128261,1.7411830188230453,0.189873417721519,0.003115871470301901,0.003115871470301901,0.030672579453067242,0.8749999999999999,2.8125,1.5503719515021344,3.6021818663209593,1.7276496460109798,1.6208917651048549,2.3024714388593823,6,2.4,1.7688334050796382,2.265156562291806,2.028985507246377
7,32.11786818148837,0.3806356245380636,0.5220271973858115,1.5648934595185255,0.2702702702702703,0.027234927234927264,0.027234927234927264,0.027667984189723313,0.6250000000000001,3.28125,1.1035358805958397,2.0263181160263986,1.3556869956329773,1.4662794628098983,2.1657647114361325,6.2,2,1.6853669939223943,5.939426268373637,1.4492753623188406
8,31.544752390070997,0.4362226920366455,0.8626330984319053,0.12715111548243563,0.19230769230769232,0.023076923076923106,0.1307692307692307,0.018716577540106943,0.3749999999999998,3.28125,1.1063202372515772,2.1040619136041983,1.4799228477981299,1.5249849787201004,2.2357966354838585,6.2,2.4,1.4534161490683228,5.70906432748538,1.8840579710144927
9,30.56909658983792,0.3411896745230078,1.7996910808024413,0.14411383778163755,0.20833333333333331,0.015598290598290598,0.015598290598290598,0.026714513556618816,0.31250000000000006,3.28125,1.0970007461469038,2.031720709237942,1.3572813683079725,1.4677859594042146,2.150565915566484,6,2,1.5348293595137914,5.335648148148148,1.4492753623188406
10,29.546797710228592,0.43995510662177323,0.1020758752612605,0.7816323772884981,0.36231884057971014,0.02586399108138243,0.02586399108138243,0.015827922077922066,0.24999999999999994,3.28125,1.0112938826462479,2.0569061719244845,1.3037775978436752,1.4522213698178252,2.2338949979378113,6.2,1.7999999999999998,1.673913043478261,5.153190948385457,1.3768115942028984
